	Drug	Target
546	Epoprostenol	Prostacyclin synthase
547	Etoposide	DNA topoisomerase 2-alpha
548	Etoposide	DNA topoisomerase 2-beta
549	Demeclocycline	Vasopressin V2 receptor
550	Inosine	IAG-nucleoside hydrolase
551	Inosine	Purine nucleoside phosphorylase
552	Inosine	Purine nucleoside phosphorylase DeoD-type
553	Prednisolone	Glucocorticoid receptor
554	Mometasone furoate	Glucocorticoid receptor
555	Mometasone furoate	Progesterone receptor
556	Captopril	Angiotensin-converting enzyme
557	Captopril	72 kDa type IV collagenase
558	Captopril	Matrix metalloproteinase-9
559	Captopril	Leukotriene A-4 hydrolase
560	Captopril	B1 bradykinin receptor
561	Ribavirin	Inosine-5'-monophosphate dehydrogenase 1
562	Ribavirin	Inosine-5'-monophosphate dehydrogenase 2
563	Ribavirin	RNA-directed RNA polymerase L
564	Ribavirin	RNA-directed RNA polymerase catalytic subunit
565	Ribavirin	Genome polyprotein
566	Methylene blue	Guanylate cyclase soluble subunit alpha-2
567	Methylene blue	Nitric oxide synthase, brain
568	Acetylcysteine	Glutathione synthetase
569	Acetylcysteine	Cystine/glutamate transporter
570	Acetylcysteine	Aminoacylase-1
571	Acetylcysteine	Inhibitor of nuclear factor kappa-B kinase subunit beta
572	Acetylcysteine	Inhibitor of nuclear factor kappa-B kinase subunit alpha
573	Acetylcysteine	Glutamate receptor ionotropic, NMDA 2B
574	Acetylcysteine	Glutamate receptor ionotropic, NMDA 1
575	Acetylcysteine	Glutamate receptor ionotropic, NMDA 2A
576	Acetylcysteine	Glutamate receptor ionotropic, NMDA 2D
577	Acetylcysteine	Glutamate receptor ionotropic, NMDA 3A
578	Resveratrol	Ribosyldihydronicotinamide dehydrogenase [quinone]
579	Resveratrol	Casein kinase II subunit alpha
580	Resveratrol	Prostaglandin G/H synthase 1
581	Resveratrol	Prostaglandin G/H synthase 2
582	Resveratrol	Arachidonate 15-lipoxygenase
583	Resveratrol	Arachidonate 5-lipoxygenase
584	Resveratrol	Aryl hydrocarbon receptor
585	Resveratrol	Phosphatidylinositol 4-kinase type 2-beta
586	Resveratrol	Integrin alpha-5
587	Resveratrol	Integrin beta-3
588	Resveratrol	Amyloid beta A4 protein
589	Resveratrol	Alpha-synuclein
590	Resveratrol	NAD-dependent protein deacetylase sirtuin-1
591	Resveratrol	Estrogen receptor
592	Resveratrol	Melatonin receptor type 1A
593	Resveratrol	Melatonin receptor type 1B
594	Resveratrol	C-type lectin domain family 14 member A
595	Resveratrol	Nuclear receptor subfamily 1 group I member 2
596	Resveratrol	Nuclear receptor subfamily 1 group I member 3
597	Resveratrol	Solute carrier family 2, facilitated glucose transporter member 1
598	Resveratrol	Carbonyl reductase [NADPH] 1
599	Resveratrol	Peroxisome proliferator-activated receptor alpha
600	Resveratrol	Peroxisome proliferator-activated receptor gamma
601	Resveratrol	RAC-alpha serine/threonine-protein kinase
602	Resveratrol	Far upstream element-binding protein 2
603	Resveratrol	Tyrosine--tRNA ligase, cytoplasmic
604	Omega-3 fatty acids	Peroxisome proliferator-activated receptor gamma
605	Omega-3 fatty acids	Peroxisome proliferator-activated receptor alpha
606	Omega-3 fatty acids	Sterol regulatory element-binding protein 1
607	Sirolimus	Serine/threonine-protein kinase mTOR
608	Sirolimus	Peptidyl-prolyl cis-trans isomerase FKBP1A
609	Sirolimus	Fibroblast growth factor 2
610	Quetiapine	5-hydroxytryptamine receptor 2A
611	Quetiapine	D(2) dopamine receptor
612	Quetiapine	5-hydroxytryptamine receptor 1A
613	Quetiapine	5-hydroxytryptamine receptor 1B
614	Quetiapine	5-hydroxytryptamine receptor 1D
615	Quetiapine	5-hydroxytryptamine receptor 1E
616	Quetiapine	5-hydroxytryptamine receptor 2C
617	Quetiapine	5-hydroxytryptamine receptor 3A
618	Quetiapine	5-hydroxytryptamine receptor 6
619	Quetiapine	5-hydroxytryptamine receptor 7
620	Quetiapine	D(1A) dopamine receptor
621	Quetiapine	D(1B) dopamine receptor
622	Quetiapine	D(3) dopamine receptor
623	Quetiapine	D(4) dopamine receptor
624	Quetiapine	Histamine H1 receptor
625	Quetiapine	Alpha-1A adrenergic receptor
626	Quetiapine	Alpha-1B adrenergic receptor
627	Quetiapine	Alpha-1D adrenergic receptor
628	Quetiapine	Alpha-2A adrenergic receptor
629	Quetiapine	Alpha-2B adrenergic receptor
630	Quetiapine	Alpha-2C adrenergic receptor
631	Quetiapine	Muscarinic acetylcholine receptor M1
632	Quetiapine	Muscarinic acetylcholine receptor M2
633	Quetiapine	Muscarinic acetylcholine receptor M3
634	Quetiapine	Muscarinic acetylcholine receptor M4
635	Quetiapine	Muscarinic acetylcholine receptor M5
636	Amiodarone	Potassium voltage-gated channel subfamily H member 2
637	Amiodarone	Potassium voltage-gated channel subfamily H member 6
638	Amiodarone	Potassium voltage-gated channel subfamily H member 7
639	Amiodarone	Beta-1 adrenergic receptor
640	Amiodarone	Beta-2 adrenergic receptor
641	Amiodarone	Beta-3 adrenergic receptor
642	Amiodarone	Voltage-dependent T-type calcium channel subunit alpha-1I
643	Amiodarone	Voltage-dependent L-type calcium channel subunit alpha-1C
644	Amiodarone	Voltage-dependent L-type calcium channel subunit alpha-1D
645	Amiodarone	Voltage-dependent L-type calcium channel subunit alpha-1F
646	Amiodarone	Voltage-dependent L-type calcium channel subunit alpha-1S
647	Amiodarone	Voltage-dependent L-type calcium channel subunit beta-1
648	Amiodarone	Voltage-dependent L-type calcium channel subunit beta-2
649	Amiodarone	Voltage-dependent L-type calcium channel subunit beta-3
650	Amiodarone	Voltage-dependent L-type calcium channel subunit beta-4
651	Amiodarone	Thyroid hormone receptor alpha
652	Amiodarone	Thyroid hormone receptor beta
653	Amiodarone	Peroxisome proliferator-activated receptor gamma
654	Amiodarone	Peroxisome proliferator-activated receptor alpha
655	Amiodarone	Peroxisome proliferator-activated receptor gamma coactivator 1-beta
656	Eltrombopag	Thrombopoietin receptor
657	Niacin	Hydroxycarboxylic acid receptor 3
658	Niacin	Hydroxycarboxylic acid receptor 2
659	Niacin	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
660	Niacin	Nicotinamide N-methyltransferase
661	Diphenhydramine	Histamine H1 receptor
662	Diphenhydramine	Muscarinic acetylcholine receptor M2
663	Sildenafil	cGMP-specific 3',5'-cyclic phosphodiesterase
664	Sildenafil	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma
665	Sildenafil	Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma
666	Tazobactam	Beta-lactamase TEM
667	Tazobactam	Beta-lactamase Ohio-1
668	Tazobactam	Beta-lactamase SHV-1
669	Fosinopril	Angiotensin-converting enzyme
670	Amodiaquine	Histamine N-methyltransferase
671	Noscapine	Sigma non-opioid intracellular receptor 1
672	Cholecalciferol	Vitamin D3 receptor
673	Apixaban	Coagulation factor X
674	Deferoxamine	Amyloid beta A4 protein
675	Cannabidiol	Cannabinoid receptor 1
676	Cannabidiol	Cannabinoid receptor 2
677	Cannabidiol	G-protein coupled receptor 12
678	Cannabidiol	Glycine receptor subunit alpha-1
679	Cannabidiol	Glycine receptor subunit beta
680	Cannabidiol	Glycine receptor subunit alpha-3
681	Cannabidiol	N-arachidonyl glycine receptor
682	Cannabidiol	G-protein coupled receptor 55
683	Cannabidiol	5-hydroxytryptamine receptor 1A
684	Cannabidiol	5-hydroxytryptamine receptor 2A
685	Cannabidiol	Neuronal acetylcholine receptor subunit alpha-7
686	Cannabidiol	Delta-type opioid receptor
687	Cannabidiol	Mu-type opioid receptor
688	Cannabidiol	Peroxisome proliferator-activated receptor gamma
689	Cannabidiol	Transient receptor potential cation channel subfamily V member 1
690	Cannabidiol	Voltage-dependent T-type calcium channel subunit alpha-1G
691	Cannabidiol	Voltage-dependent T-type calcium channel subunit alpha-1H
692	Cannabidiol	Voltage-dependent T-type calcium channel subunit alpha-1I
693	Cannabidiol	Transient receptor potential cation channel subfamily A member 1
694	Cannabidiol	Transient receptor potential cation channel subfamily M member 8
695	Cannabidiol	Transient receptor potential cation channel subfamily V member 2
696	Cannabidiol	Transient receptor potential cation channel subfamily V member 3
697	Cannabidiol	Transient receptor potential cation channel subfamily V member 4
698	Cannabidiol	Voltage-dependent anion-selective channel protein 1
699	Cannabidiol	5-hydroxytryptamine receptor 3A
700	Cannabidiol	Adenosine receptor A1
701	Cannabidiol	Prostaglandin G/H synthase 1
702	Cannabidiol	Prostaglandin G/H synthase 2
703	Cannabidiol	Acetyl-CoA acetyltransferase, mitochondrial
704	Cannabidiol	Steroid 17-alpha-hydroxylase/17,20 lyase
705	Cannabidiol	3-hydroxy-3-methylglutaryl-coenzyme A reductase
706	Cannabidiol	Glutathione reductase, mitochondrial
707	Cannabidiol	Glutathione peroxidase 1
708	Cannabidiol	Indoleamine 2,3-dioxygenase 1
709	Cannabidiol	Cytochrome P450 1B1
710	Cannabidiol	NAD(P)H dehydrogenase [quinone] 1
711	Cannabidiol	Catalase
712	Cannabidiol	Cytochrome P450 3A5
713	Cannabidiol	Cytochrome P450 2D6
714	Cannabidiol	Superoxide dismutase [Cu-Zn]
715	Cannabidiol	Cytochrome P450 1A2
716	Cannabidiol	Cytochrome P450 3A7
717	Cannabidiol	Arylalkylamine N-acetyltransferase
718	Cannabidiol	N-acylethanolamine-hydrolyzing acid amidase
719	GC-376 free acid	Replicase polyprotein 1ab
720	GC-376 free acid	Replicase polyprotein 1a
721	Edoxaban	Coagulation factor X
722	Cyanocobalamin	Methionine synthase
723	Cyanocobalamin	Methylmalonyl-CoA mutase, mitochondrial
724	Cyanocobalamin	Methionine synthase reductase
725	Cyanocobalamin	Methylmalonic aciduria type A protein, mitochondrial
726	Cyanocobalamin	Methylmalonic aciduria and homocystinuria type C protein
727	Cyanocobalamin	Methylenetetrahydrofolate reductase
728	Imatinib	Breakpoint cluster region protein
729	Imatinib	Mast/stem cell growth factor receptor Kit
730	Imatinib	RET proto-oncogene
731	Imatinib	High affinity nerve growth factor receptor
732	Imatinib	Macrophage colony-stimulating factor 1 receptor
733	Imatinib	Platelet-derived growth factor receptor alpha
734	Imatinib	Epithelial discoidin domain-containing receptor 1
735	Imatinib	Tyrosine-protein kinase ABL1
736	Imatinib	Platelet-derived growth factor receptor beta
737	Midazolam	Gamma-aminobutyric acid receptor subunit alpha-1
738	Midazolam	Gamma-aminobutyric acid receptor subunit alpha-2
739	Midazolam	Gamma-aminobutyric acid receptor subunit alpha-3
740	Midazolam	Gamma-aminobutyric acid receptor subunit alpha-4
741	Midazolam	Gamma-aminobutyric acid receptor subunit alpha-5
742	Midazolam	Gamma-aminobutyric acid receptor subunit alpha-6
743	Midazolam	Gamma-aminobutyric acid receptor subunit beta-1
744	Midazolam	Gamma-aminobutyric acid receptor subunit beta-2
745	Midazolam	Gamma-aminobutyric acid receptor subunit beta-3
746	Midazolam	Gamma-aminobutyric acid receptor subunit delta
747	Midazolam	Gamma-aminobutyric acid receptor subunit epsilon
748	Midazolam	Gamma-aminobutyric acid receptor subunit gamma-1
749	Midazolam	Gamma-aminobutyric acid receptor subunit gamma-2
750	Midazolam	Gamma-aminobutyric acid receptor subunit gamma-3
751	Midazolam	Gamma-aminobutyric acid receptor subunit pi
752	Midazolam	Gamma-aminobutyric acid receptor subunit theta
753	Bemiparin	Coagulation factor X
754	Bemiparin	Antithrombin-III
755	Bemiparin	Heparin cofactor 2
756	Dutasteride	3-oxo-5-alpha-steroid 4-dehydrogenase 2
757	Dutasteride	3-oxo-5-alpha-steroid 4-dehydrogenase 1
758	Ritonavir	Pol polyprotein
759	Ritonavir	Nuclear receptor subfamily 1 group I member 2
760	Nitazoxanide	Pyruvate synthase
761	Sulfamethoxazole	Dihydropteroate synthase
762	Ramelteon	Melatonin receptor type 1A
763	Ramelteon	Melatonin receptor type 1B
764	Oleic Acid	Myelin P2 protein
765	Oleic Acid	Peroxisome proliferator-activated receptor alpha
766	Oleic Acid	Peroxisome proliferator-activated receptor delta
767	Oleic Acid	Retinoic acid receptor RXR-alpha
768	Oleic Acid	Peroxisome proliferator-activated receptor gamma
769	Vitamin D	Vitamin D3 receptor
770	Vitamin D	Vitamin D-binding protein
771	Calcifediol	Vitamin D3 receptor
772	Pentoxifylline	Adenosine receptor A2a
773	Pentoxifylline	Adenosine receptor A1
774	Pentoxifylline	5'-nucleotidase
775	Heparin	Antithrombin-III
776	Heparin	Coagulation factor X
777	Heparin	P-selectin
778	Heparin	Fibroblast growth factor receptor 4
779	Heparin	Fibroblast growth factor 4
780	Heparin	Fibroblast growth factor 19
781	Heparin	Fibroblast growth factor receptor 1
782	Heparin	Fibroblast growth factor 1
783	Heparin	Fibroblast growth factor receptor 2
784	Heparin	Fibroblast growth factor 2
785	Heparin	Platelet factor 4
786	Heparin	Hepatocyte growth factor
787	Fenofibrate	Peroxisome proliferator-activated receptor alpha
788	Fenofibrate	Matrix metalloproteinase-25
789	Fenofibrate	Nuclear receptor subfamily 1 group I member 2
790	Acetylsalicylic acid	Prostaglandin G/H synthase 1
791	Acetylsalicylic acid	Prostaglandin G/H synthase 2
792	Acetylsalicylic acid	Aldo-keto reductase family 1 member C1
793	Acetylsalicylic acid	5'-AMP-activated protein kinase catalytic subunit alpha-1
794	Acetylsalicylic acid	5'-AMP-activated protein kinase catalytic subunit alpha-2
795	Acetylsalicylic acid	5'-AMP-activated protein kinase subunit beta-1
796	Acetylsalicylic acid	5'-AMP-activated protein kinase subunit beta-2
797	Acetylsalicylic acid	5'-AMP-activated protein kinase subunit gamma-1
798	Acetylsalicylic acid	5'-AMP-activated protein kinase subunit gamma-2
799	Acetylsalicylic acid	5'-AMP-activated protein kinase subunit gamma-3
800	Acetylsalicylic acid	Endothelin-1 receptor
801	Acetylsalicylic acid	Cellular tumor antigen p53
802	Acetylsalicylic acid	78 kDa glucose-regulated protein
803	Acetylsalicylic acid	Ribosomal protein S6 kinase alpha-3
804	Acetylsalicylic acid	NF-kappa-B inhibitor alpha
805	Acetylsalicylic acid	Tumor necrosis factor-inducible gene 6 protein
806	Acetylsalicylic acid	Caspase-1
807	Acetylsalicylic acid	Caspase-3
808	Acetylsalicylic acid	Inhibitor of nuclear factor kappa-B kinase subunit beta
809	Acetylsalicylic acid	Mitogen-activated protein kinase 1
810	Acetylsalicylic acid	Mitogen-activated protein kinase 15
811	Acetylsalicylic acid	Mitogen-activated protein kinase 3
812	Acetylsalicylic acid	Mitogen-activated protein kinase 4
813	Acetylsalicylic acid	Mitogen-activated protein kinase 6
814	Acetylsalicylic acid	Mitogen-activated protein kinase 7
815	Acetylsalicylic acid	G1/S-specific cyclin-D1
816	Acetylsalicylic acid	Myc proto-oncogene protein
817	Acetylsalicylic acid	Proliferating cell nuclear antigen
818	Isotretinoin	Retinoic acid receptor alpha
819	Isotretinoin	Retinoic acid receptor gamma
820	Trifluoperazine	D(2) dopamine receptor
821	Trifluoperazine	Neuron-specific vesicular protein calcyon
822	Trifluoperazine	Alpha-1A adrenergic receptor
823	Trifluoperazine	Calmodulin
824	Trifluoperazine	Troponin C, slow skeletal and cardiac muscles
825	Trifluoperazine	Protein S100-A4
826	Trandolapril	Angiotensin-converting enzyme
827	Sevoflurane	Gamma-aminobutyric acid receptor subunit alpha-1
828	Sevoflurane	Glycine receptor subunit alpha-1
829	Sevoflurane	Glutamate receptor 1
830	Sevoflurane	Calcium-transporting ATPase type 2C member 1
831	Sevoflurane	NADH-ubiquinone oxidoreductase chain 1
832	Sevoflurane	Gamma-aminobutyric acid receptor subunit alpha-2
833	Sevoflurane	Gamma-aminobutyric acid receptor subunit alpha-3
834	Sevoflurane	Gamma-aminobutyric acid receptor subunit alpha-4
835	Sevoflurane	Gamma-aminobutyric acid receptor subunit alpha-5
836	Sevoflurane	Gamma-aminobutyric acid receptor subunit alpha-6
837	Sevoflurane	Gamma-aminobutyric acid receptor subunit beta-1
838	Sevoflurane	Gamma-aminobutyric acid receptor subunit beta-2
839	Sevoflurane	Gamma-aminobutyric acid receptor subunit beta-3
840	Sevoflurane	Gamma-aminobutyric acid receptor subunit delta
841	Sevoflurane	Gamma-aminobutyric acid receptor subunit epsilon
842	Sevoflurane	Gamma-aminobutyric acid receptor subunit gamma-1
843	Sevoflurane	Gamma-aminobutyric acid receptor subunit gamma-2
844	Sevoflurane	Gamma-aminobutyric acid receptor subunit gamma-3
845	Sevoflurane	Gamma-aminobutyric acid receptor subunit pi
846	Sevoflurane	Gamma-aminobutyric acid receptor subunit theta
847	Sevoflurane	Mitochondrial potassium channel
848	Hydrocortisone	Glucocorticoid receptor
849	Hydrocortisone	Annexin A1
850	Budesonide	Glucocorticoid receptor
851	Budesonide	Annexin A1
852	Decitabine	DNA (cytosine-5)-methyltransferase 1
853	Decitabine	DNA (cytosine-5)-methyltransferase 3A
854	Decitabine	DNA (cytosine-5)-methyltransferase 3B
855	Cyclosporine	Calcium signal-modulating cyclophilin ligand
856	Cyclosporine	Calcineurin subunit B type 2
857	Cyclosporine	Peptidyl-prolyl cis-trans isomerase A
858	Cyclosporine	Peptidyl-prolyl cis-trans isomerase F, mitochondrial
859	Tofacitinib	Tyrosine-protein kinase JAK1
860	Tofacitinib	Tyrosine-protein kinase JAK2
861	Tofacitinib	Tyrosine-protein kinase JAK3
862	Tofacitinib	Non-receptor tyrosine-protein kinase TYK2
863	Resiniferatoxin	Transient receptor potential cation channel subfamily V member 1
864	Atovaquone	Cytochrome b
865	Atovaquone	Dihydroorotate dehydrogenase (quinone), mitochondrial
866	Quinine	Platelet glycoprotein IX
867	Quinine	Intermediate conductance calcium-activated potassium channel protein 4
868	Pyridostigmine	Acetylcholinesterase
869	Pyridostigmine	Cholinesterase
870	Abivertinib	Epidermal growth factor receptor
871	Abivertinib	Tyrosine-protein kinase BTK
872	Sofosbuvir	RNA-dependent RNA-polymerase
873	Primaquine	Keratin, type II cytoskeletal 7
874	Primaquine	Ribosyldihydronicotinamide dehydrogenase [quinone]
875	Almitrine	Sodium/potassium-transporting ATPase subunit alpha-1
876	Telmisartan	Type-1 angiotensin II receptor
877	Telmisartan	Peroxisome proliferator-activated receptor gamma
878	Piperine	Nuclear receptor subfamily 1 group I member 2
879	Razuprotafib	Receptor-type tyrosine-protein phosphatase beta
880	Nelfinavir	HIV-1 protease
881	Merimepodib	Inosine-5'-monophosphate dehydrogenase
882	Danoprevir	Genome polyprotein
883	Nicotinamide	Exotoxin A
884	Nicotinamide	L-lactate dehydrogenase A chain
885	Nicotinamide	Poly [ADP-ribose] polymerase 1
886	Nicotinamide	NAD-dependent protein deacylase sirtuin-5, mitochondrial
887	Nicotinamide	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
888	Lopinavir	Pol polyprotein
889	Nifedipine	Voltage-dependent L-type calcium channel subunit alpha-1C
890	Nifedipine	Nuclear receptor subfamily 1 group I member 2
891	Nifedipine	Calmodulin
892	Nifedipine	Voltage-dependent L-type calcium channel subunit alpha-1D
893	Nifedipine	Voltage-dependent L-type calcium channel subunit alpha-1S
894	Nifedipine	Voltage-dependent L-type calcium channel subunit beta-2
895	Nifedipine	Potassium voltage-gated channel subfamily D member 3
896	Nifedipine	Voltage-dependent T-type calcium channel subunit alpha-1G
897	Nifedipine	Voltage-dependent T-type calcium channel subunit alpha-1H
898	Nifedipine	Voltage-dependent T-type calcium channel subunit alpha-1I
899	Brequinar	Dihydroorotate dehydrogenase (quinone), mitochondrial
900	Curcumin	Peroxisome proliferator-activated receptor gamma
901	Curcumin	Vitamin D3 receptor
902	Curcumin	Multidrug resistance-associated protein 5
903	Curcumin	Carbonyl reductase [NADPH] 1
904	Curcumin	Glutathione S-transferase P
905	Tetrandrine	Multidrug resistance protein 1
906	Favipiravir	RNA-directed RNA polymerase catalytic subunit
907	Prednisone	Glucocorticoid receptor
908	Metronidazole	Oxygen-insensitive NADPH nitroreductase
909	Acalabrutinib	Tyrosine-protein kinase BTK
910	Alpha-Cyclodextrin (Cyclohexa-Amylose)	Cyclomaltodextrin glucanotransferase
911	Erythromycin	Motilin receptor
912	Erythromycin	Potassium voltage-gated channel subfamily H member 2
913	Aprotinin	Trypsin-1
914	Aprotinin	Chymotrypsinogen B
915	Aprotinin	Plasminogen
916	Aprotinin	Kallikrein-1
917	Genistein	Estrogen receptor beta
918	Genistein	DNA topoisomerase 2-alpha
919	Genistein	Protein-tyrosine kinase 2-beta
920	Genistein	Nuclear receptor coactivator 1
921	Genistein	Estrogen receptor
922	Genistein	Nuclear receptor coactivator 2
923	Genistein	Steroid hormone receptor ERR2
924	Genistein	Steroid hormone receptor ERR1
925	Genistein	Nuclear receptor subfamily 1 group I member 2
926	Genistein	RAC-alpha serine/threonine-protein kinase
927	Genistein	G-protein coupled estrogen receptor 1
928	Genistein	Cytochrome P450 1B1
929	Genistein	Sex hormone-binding globulin
930	GS-441524	Replicase polyprotein 1ab
931	GS-441524	RNA-directed RNA polymerase L
932	Moexipril	Angiotensin-converting enzyme
933	Fluvoxamine	Sodium-dependent serotonin transporter
934	Fluvoxamine	Potassium voltage-gated channel subfamily H member 2
935	Aprepitant	Substance-P receptor
936	Famotidine	Histamine H2 receptor
937	Levomenthol	Transient receptor potential cation channel subfamily M member 8
938	Levomenthol	Transient receptor potential cation channel subfamily A member 1
939	Levomenthol	Transient receptor potential cation channel subfamily V member 3
940	Levomenthol	Kappa-type opioid receptor
941	Levomenthol	Voltage-dependent L-type calcium channel subunit alpha-1C
942	Levomenthol	Voltage-dependent L-type calcium channel subunit alpha-1D
943	Levomenthol	Voltage-dependent L-type calcium channel subunit alpha-1F
944	Levomenthol	Voltage-dependent L-type calcium channel subunit alpha-1S
945	Levomenthol	Voltage-dependent L-type calcium channel subunit beta-1
946	Levomenthol	Voltage-dependent L-type calcium channel subunit beta-2
947	Levomenthol	Voltage-dependent L-type calcium channel subunit beta-3
948	Levomenthol	Voltage-dependent L-type calcium channel subunit beta-4
949	Levomenthol	Voltage-dependent P/Q-type calcium channel subunit alpha-1A
950	Propofol	Gamma-aminobutyric acid receptor subunit beta-2
951	Propofol	Gamma-aminobutyric acid receptor subunit beta-3
952	Propofol	Sodium channel protein type 4 subunit alpha
953	Propofol	Sodium channel protein type 2 subunit alpha
954	Propofol	Gamma-aminobutyric acid receptor subunit alpha-1
955	Propofol	Gamma-aminobutyric acid receptor subunit alpha-2
956	Propofol	Gamma-aminobutyric acid receptor subunit alpha-3
957	Propofol	Gamma-aminobutyric acid receptor subunit alpha-4
958	Propofol	Gamma-aminobutyric acid receptor subunit alpha-5
959	Propofol	Gamma-aminobutyric acid receptor subunit alpha-6
960	Propofol	Gamma-aminobutyric acid receptor subunit beta-1
961	Propofol	Gamma-aminobutyric acid receptor subunit delta
962	Propofol	Gamma-aminobutyric acid receptor subunit epsilon
963	Propofol	Gamma-aminobutyric acid receptor subunit gamma-1
964	Propofol	Gamma-aminobutyric acid receptor subunit gamma-2
965	Propofol	Gamma-aminobutyric acid receptor subunit gamma-3
966	Propofol	Gamma-aminobutyric acid receptor subunit pi
967	Propofol	Gamma-aminobutyric acid receptor subunit theta
968	Ketotifen	Histamine H1 receptor
969	Ketotifen	6-phosphogluconate dehydrogenase, decarboxylating
970	Rivaroxaban	Coagulation factor X
971	Apremilast	Phosphodiesterase isozyme 4
972	Dipyridamole	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A
973	Dipyridamole	Adenosine deaminase
974	Dipyridamole	cGMP-specific 3',5'-cyclic phosphodiesterase
975	Dipyridamole	cAMP-specific 3',5'-cyclic phosphodiesterase 4A
976	Dipyridamole	Calcipressin-1
977	Dipyridamole	Alpha-1-acid glycoprotein 1
978	Opaganib	Sphingosine kinase 2
979	Betamethasone	Glucocorticoid receptor
980	Azithromycin	Protein-arginine deiminase type-4
981	Serine	Cystathionine beta-synthase
982	Serine	L-serine dehydratase/L-threonine deaminase
983	Serine	Serine racemase
984	Serine	Serine palmitoyltransferase 2
985	Serine	Serine palmitoyltransferase 1
986	Serine	Serine--tRNA ligase, cytoplasmic
987	Serine	Serine--pyruvate aminotransferase
988	Lisinopril	Angiotensin-converting enzyme
989	Lisinopril	Renin
990	Amoxicillin	Penicillin binding protein
991	Irbesartan	Type-1 angiotensin II receptor
992	Irbesartan	Transcription factor AP-1
993	Maraviroc	C-C chemokine receptor type 5
994	Lenalidomide	Protein cereblon
995	Lenalidomide	Tumor necrosis factor ligand superfamily member 11
996	Lenalidomide	Cadherin-5
997	Lenalidomide	Prostaglandin G/H synthase 2
998	Camphor	Camphor 5-monooxygenase
999	Camphor	Transient receptor potential cation channel subfamily V member 1
1000	Camphor	Transient receptor potential cation channel subfamily V member 3
1001	Camphor	Transient receptor potential cation channel subfamily A member 1
1002	Camphor	Transient receptor potential cation channel subfamily M member 8
1003	Levofloxacin	DNA topoisomerase 4 subunit A
1004	Levofloxacin	DNA gyrase subunit A
1005	Argatroban	Prothrombin
1006	Folic acid	Folate receptor gamma
1007	Folic acid	Folate receptor beta
1008	Folic acid	Folate receptor alpha
1009	Icosapent	Prostaglandin G/H synthase 2
1010	Icosapent	Prostaglandin G/H synthase 1
1011	Icosapent	Peroxisome proliferator-activated receptor gamma
1012	Icosapent	Peroxisome proliferator-activated receptor delta
1013	Icosapent	Fatty acid desaturase 1
1014	Icosapent	Long-chain-fatty-acid--CoA ligase 4
1015	Icosapent	Free fatty acid receptor 1
1016	Icosapent	Sodium/calcium exchanger 1
1017	Icosapent	Transient receptor potential cation channel subfamily V member 1
1018	Icosapent	Peroxisome proliferator-activated receptor alpha
1019	Alendronic acid	Farnesyl pyrophosphate synthase
1020	Alendronic acid	Tyrosine-protein phosphatase non-receptor type 4
1021	Alendronic acid	Receptor-type tyrosine-protein phosphatase S
1022	Alendronic acid	Receptor-type tyrosine-protein phosphatase epsilon
1023	Alendronic acid	V-type proton ATPase catalytic subunit A
1024	Ketamine	Glutamate receptor ionotropic, NMDA 3A
1025	Ketamine	Substance-P receptor
1026	Ketamine	D(2) dopamine receptor
1027	Ketamine	Delta-type opioid receptor
1028	Ketamine	Sodium-dependent noradrenaline transporter
1029	Ketamine	Kappa-type opioid receptor
1030	Ketamine	Mu-type opioid receptor
1031	Ketamine	Muscarinic acetylcholine receptor M1
1032	Ketamine	Muscarinic acetylcholine receptor M2
1033	Ketamine	Muscarinic acetylcholine receptor M3
1034	Ketamine	Muscarinic acetylcholine receptor M4
1035	Ketamine	Muscarinic acetylcholine receptor M5
1036	Ketamine	5-hydroxytryptamine receptor 2A
1037	Ketamine	5-hydroxytryptamine receptor 2B
1038	Ketamine	5-hydroxytryptamine receptor 2C
1039	Ketamine	5-hydroxytryptamine receptor 1A
1040	Ketamine	5-hydroxytryptamine receptor 1B
1041	Ketamine	5-hydroxytryptamine receptor 1D
1042	Ketamine	5-hydroxytryptamine receptor 1E
1043	Ketamine	5-hydroxytryptamine receptor 1F
1044	Ketamine	5-hydroxytryptamine receptor 3A
1045	Ketamine	Alpha-7 nicotinic cholinergic receptor subunit
1046	Ketamine	Cholinesterase
1047	Ketamine	Nitric oxide synthase, brain
1048	Indomethacin	Prostaglandin G/H synthase 1
1049	Indomethacin	Prostaglandin G/H synthase 2
1050	Indomethacin	Phospholipase A2, membrane associated
1051	Indomethacin	Prostaglandin reductase 2
1052	Indomethacin	Peroxisome proliferator-activated receptor gamma
1053	Indomethacin	Lactoylglutathione lyase
1054	Indomethacin	Prostaglandin D2 receptor 2
1055	Indomethacin	Peroxisome proliferator-activated receptor alpha
1056	Indomethacin	Aldo-keto reductase family 1 member C3
1057	Linagliptin	Dipeptidyl peptidase 4
1058	Thiamine	Thiamin pyrophosphokinase 1
1059	Hesperidin	Aurora kinase B
1060	Clopidogrel	P2Y purinoceptor 12
1061	Fostamatinib	Tyrosine-protein kinase SYK
