	source	target	weight
2100	L-lactate dehydrogenase A chain	Eukaryotic translation initiation factor 3 subunit C	1
2101	L-lactate dehydrogenase A chain	Purine nucleotide phosphorylase, putative	1
2102	L-lactate dehydrogenase A chain	Cell division cycle protein 48 homologue,putative	1
2103	L-lactate dehydrogenase A chain	Hypoxanthine-guanine-xanthine phosphoribosyltransferase	1
2104	L-lactate dehydrogenase A chain	NAD-dependent protein deacylase sirtuin-5, mitochondrial	1
2105	L-lactate dehydrogenase A chain	Methionine--tRNA ligase	1
2106	L-lactate dehydrogenase A chain	Phosphoethanolamine N-methyltransferase	1
2107	L-lactate dehydrogenase A chain	40S ribosomal protein S5	1
2108	L-lactate dehydrogenase A chain	60S ribosomal protein L24, putative	1
2109	L-lactate dehydrogenase A chain	L-lactate dehydrogenase	1
2110	L-lactate dehydrogenase A chain	L-lactate dehydrogenase B chain	1
2111	L-lactate dehydrogenase A chain	Hexokinase	1
2112	L-lactate dehydrogenase A chain	cAMP-dependent protein kinase regulatory subunit	1
2113	L-lactate dehydrogenase A chain	40S ribosomal protein S5, putative	1
2114	L-lactate dehydrogenase A chain	Filamin-A	1
2115	L-lactate dehydrogenase A chain	Importin subunit alpha	1
2116	L-lactate dehydrogenase A chain	40S ribosomal protein S8	1
2117	L-lactate dehydrogenase A chain	Cysteine and glycine-rich protein 1	1
2118	L-lactate dehydrogenase A chain	60S ribosomal protein L35	1
2119	L-lactate dehydrogenase A chain	Nucleophosmin	1
2120	L-lactate dehydrogenase A chain	Fructose-bisphosphate aldolase	1
2121	L-lactate dehydrogenase A chain	40S ribosomal protein S6	1
2122	L-lactate dehydrogenase A chain	Ubiquitin-60S ribosomal protein L40	1
2123	L-lactate dehydrogenase A chain	Thioredoxin-related protein, putative	1
2124	L-lactate dehydrogenase A chain	Parasite-infected erythrocyte surface protein	1
2125	L-lactate dehydrogenase A chain	GTP-binding nuclear protein Ran	1
2126	L-lactate dehydrogenase A chain	60S ribosomal protein L18	1
2127	L-lactate dehydrogenase A chain	40S ribosomal protein S28	1
2128	L-lactate dehydrogenase A chain	Coatomer alpha subunit, putative	1
2129	L-lactate dehydrogenase A chain	Peptidyl-prolyl cis-trans isomerase	1
2130	L-lactate dehydrogenase A chain	40S ribosomal protein S18	1
2131	L-lactate dehydrogenase A chain	60S ribosomal protein L21	1
2132	L-lactate dehydrogenase A chain	Heterochromatin protein 1-binding protein 3	1
2133	L-lactate dehydrogenase A chain	Calcium-dependent protein kinase 4	1
2134	L-lactate dehydrogenase A chain	Phosphoglycerate kinase 1	1
2135	L-lactate dehydrogenase A chain	60S ribosomal protein L14, putative	1
2136	L-lactate dehydrogenase A chain	60S ribosomal protein L14	1
2137	L-lactate dehydrogenase A chain	Elongation factor 1-alpha 1	1
2138	L-lactate dehydrogenase A chain	Plasmepsin-1	1
2139	L-lactate dehydrogenase A chain	Actin-1	1
2140	L-lactate dehydrogenase A chain	Non-SERCA-type Ca2+-transporting P-ATPase	1
2141	L-lactate dehydrogenase A chain	40S ribosomal protein S13	1
2142	L-lactate dehydrogenase A chain	Glutamate dehydrogenase	1
2143	L-lactate dehydrogenase A chain	Ubiquitin-conjugating enzyme E2	1
2144	L-lactate dehydrogenase A chain	Multidrug resistance protein	1
2145	L-lactate dehydrogenase A chain	14-3-3 protein	1
2146	L-lactate dehydrogenase A chain	Rhoptry neck protein 3	1
2147	L-lactate dehydrogenase A chain	Eukaryotic initiation factor 4A	1
2148	L-lactate dehydrogenase A chain	ATP-dependent RNA helicase UAP56	1
2149	L-lactate dehydrogenase A chain	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific	1
2150	L-lactate dehydrogenase A chain	Elongation factor 2	1
2151	L-lactate dehydrogenase A chain	Polyadenylate-binding protein	1
2152	L-lactate dehydrogenase A chain	Elongation factor 1-gamma, putative	1
2153	L-lactate dehydrogenase A chain	Triosephosphate isomerase	1
2154	L-lactate dehydrogenase A chain	Translationally-controlled tumor protein homolog	1
2155	L-lactate dehydrogenase A chain	ATP synthase subunit g, mitochondrial	1
2156	L-lactate dehydrogenase A chain	Heterogeneous nuclear ribonucleoprotein D0	1
2157	L-lactate dehydrogenase A chain	Tubulin alpha-1A chain	1
2158	L-lactate dehydrogenase A chain	Protein transport protein SEC31	1
2159	L-lactate dehydrogenase A chain	Myosin-9	1
2160	L-lactate dehydrogenase A chain	Tubulin alpha chain	1
2161	L-lactate dehydrogenase A chain	Actin, cytoplasmic 2	1
2162	L-lactate dehydrogenase A chain	Proteasome subunit alpha type	1
2163	L-lactate dehydrogenase A chain	Plasmodium exported protein	1
2164	L-lactate dehydrogenase A chain	Tropomyosin alpha-1 chain	1
2165	L-lactate dehydrogenase A chain	Haloacid dehalogenase-like hydrolase	1
2166	L-lactate dehydrogenase A chain	Heat shock protein 110, putative	1
2167	L-lactate dehydrogenase A chain	Pyruvate kinase PKM	1
2168	L-lactate dehydrogenase A chain	Tubulin beta-6 chain	1
2169	L-lactate dehydrogenase A chain	Alpha-enolase	1
2170	L-lactate dehydrogenase A chain	Phosphoglycerate mutase 1	1
2171	L-lactate dehydrogenase A chain	Isoleucine--tRNA ligase, putative	1
2172	L-lactate dehydrogenase A chain	Splicing factor, proline- and glutamine-rich	1
2173	L-lactate dehydrogenase A chain	Tubulin beta-4A chain	1
2174	L-lactate dehydrogenase A chain	Conserved Plasmodium membrane protein	1
2175	L-lactate dehydrogenase A chain	ATP synthase subunit O, mitochondrial	1
2176	L-lactate dehydrogenase A chain	T-complex protein 1 subunit gamma	1
2177	L-lactate dehydrogenase A chain	40S ribosomal protein S9	1
2178	L-lactate dehydrogenase A chain	60S ribosomal protein L2	1
2179	L-lactate dehydrogenase A chain	HSP40, subfamily A, putative	1
2180	L-lactate dehydrogenase A chain	Chloroquine resistance transporter	1
2181	L-lactate dehydrogenase A chain	40S ribosomal protein S3a	1
2182	L-lactate dehydrogenase A chain	Probable ATP-dependent 6-phosphofructokinase	1
2183	L-lactate dehydrogenase A chain	Ras GTPase-activating-like protein IQGAP1	1
2184	L-lactate dehydrogenase A chain	60S ribosomal protein L23	1
2185	L-lactate dehydrogenase A chain	40S ribosomal protein S19	1
2186	L-lactate dehydrogenase A chain	Ring-infected erythrocyte surface antigen	1
2187	L-lactate dehydrogenase A chain	Thioredoxin peroxidase 1	1
2188	L-lactate dehydrogenase A chain	Thioredoxin-like protein	1
2189	L-lactate dehydrogenase A chain	V-type H(+)-translocating pyrophosphatase, putative	1
2190	L-lactate dehydrogenase A chain	Signal recognition particle receptor, beta subunit	1
2191	L-lactate dehydrogenase A chain	Zyxin	1
2192	L-lactate dehydrogenase A chain	Glycophorin-binding protein	1
2193	L-lactate dehydrogenase A chain	Elongation factor 1-alpha	1
2194	L-lactate dehydrogenase A chain	Knob-associated histidine-rich protein	1
2195	L-lactate dehydrogenase A chain	Pyruvate kinase	1
2196	L-lactate dehydrogenase A chain	HAP protein	1
2197	L-lactate dehydrogenase A chain	Protein disulfide-isomerase	1
2198	L-lactate dehydrogenase A chain	Transgelin	1
2199	L-lactate dehydrogenase A chain	Peroxiredoxin-1	1
2200	L-lactate dehydrogenase A chain	Annexin A2	1
2201	L-lactate dehydrogenase A chain	Chloride intracellular channel protein 1	1
2202	L-lactate dehydrogenase A chain	Glyceraldehyde-3-phosphate dehydrogenase	1
2203	L-lactate dehydrogenase A chain	60S ribosomal protein L4	1
2204	L-lactate dehydrogenase A chain	Glutamate--tRNA ligase	1
2205	L-lactate dehydrogenase A chain	40S ribosomal protein S17	1
2206	L-lactate dehydrogenase A chain	Microtubule-associated protein 4	1
2207	Poly [ADP-ribose] polymerase 1	ADP-ribosyl cyclase 2	1
2208	Poly [ADP-ribose] polymerase 1	NAD-dependent protein deacylase sirtuin-5, mitochondrial	1
2209	NAD-dependent protein deacylase sirtuin-5, mitochondrial	Phospholipase A2, membrane associated	1
2210	NAD-dependent protein deacylase sirtuin-5, mitochondrial	Complement control protein C3	1
2211	NAD-dependent protein deacylase sirtuin-5, mitochondrial	ADP-ribosyl cyclase 2	1
2212	NAD-dependent protein deacylase sirtuin-5, mitochondrial	Follicle-stimulating hormone receptor	1
2213	NAD-dependent protein deacylase sirtuin-5, mitochondrial	P2Y purinoceptor 2	1
2214	NAD-dependent protein deacylase sirtuin-5, mitochondrial	Ryanodine receptor 1	1
2215	Nuclear receptor ROR-alpha	C-type lectin domain family 4 member E	1
2216	Voltage-dependent L-type calcium channel subunit alpha-1C	Voltage-dependent P/Q-type calcium channel subunit alpha-1A	1
2217	Voltage-dependent L-type calcium channel subunit alpha-1C	Voltage-dependent calcium channel gamma-1 subunit	1
2218	Voltage-dependent L-type calcium channel subunit alpha-1C	Alpha-1B adrenergic receptor	1
2219	Voltage-dependent L-type calcium channel subunit alpha-1C	Voltage-dependent T-type calcium channel subunit alpha-1G	1
2220	Voltage-dependent L-type calcium channel subunit alpha-1C	Voltage-dependent T-type calcium channel subunit alpha-1H	1
2221	Voltage-dependent L-type calcium channel subunit alpha-1C	Alpha-1D adrenergic receptor	1
2222	Voltage-dependent L-type calcium channel subunit alpha-1C	Alpha-1A adrenergic receptor	1
2223	Voltage-dependent L-type calcium channel subunit alpha-1C	ATP-sensitive inward rectifier potassium channel 11	1
2224	Voltage-dependent L-type calcium channel subunit alpha-1C	Voltage-dependent N-type calcium channel subunit alpha-1B	1
2225	Voltage-dependent N-type calcium channel subunit alpha-1B	Voltage-dependent P/Q-type calcium channel subunit alpha-1A	1
2226	Voltage-dependent N-type calcium channel subunit alpha-1B	Alpha-1B adrenergic receptor	1
2227	Voltage-dependent N-type calcium channel subunit alpha-1B	Voltage-dependent T-type calcium channel subunit alpha-1G	1
2228	Voltage-dependent N-type calcium channel subunit alpha-1B	Voltage-dependent T-type calcium channel subunit alpha-1H	1
2229	Voltage-dependent N-type calcium channel subunit alpha-1B	Alpha-1D adrenergic receptor	1
2230	Voltage-dependent N-type calcium channel subunit alpha-1B	Alpha-1A adrenergic receptor	1
2231	Voltage-dependent N-type calcium channel subunit alpha-1B	ATP-sensitive inward rectifier potassium channel 11	1
2232	Voltage-dependent P/Q-type calcium channel subunit alpha-1A	Alpha-1B adrenergic receptor	1
2233	Voltage-dependent P/Q-type calcium channel subunit alpha-1A	Voltage-dependent T-type calcium channel subunit alpha-1G	1
2234	Voltage-dependent P/Q-type calcium channel subunit alpha-1A	Voltage-dependent T-type calcium channel subunit alpha-1H	1
2235	Voltage-dependent P/Q-type calcium channel subunit alpha-1A	Alpha-1D adrenergic receptor	1
2236	Voltage-dependent P/Q-type calcium channel subunit alpha-1A	Alpha-1A adrenergic receptor	1
2237	Voltage-dependent P/Q-type calcium channel subunit alpha-1A	ATP-sensitive inward rectifier potassium channel 11	1
2238	ATP-sensitive inward rectifier potassium channel 11	Alpha-1B adrenergic receptor	1
2239	ATP-sensitive inward rectifier potassium channel 11	Voltage-dependent T-type calcium channel subunit alpha-1G	1
2240	ATP-sensitive inward rectifier potassium channel 11	Voltage-dependent T-type calcium channel subunit alpha-1H	1
2241	ATP-sensitive inward rectifier potassium channel 11	Alpha-1D adrenergic receptor	1
2242	ATP-sensitive inward rectifier potassium channel 11	Alpha-1A adrenergic receptor	1
2243	Voltage-dependent T-type calcium channel subunit alpha-1G	Alpha-1B adrenergic receptor	1
2244	Voltage-dependent T-type calcium channel subunit alpha-1G	Voltage-dependent T-type calcium channel subunit alpha-1H	1
2245	Voltage-dependent T-type calcium channel subunit alpha-1G	Alpha-1D adrenergic receptor	1
2246	Voltage-dependent T-type calcium channel subunit alpha-1G	Alpha-1A adrenergic receptor	1
2247	Voltage-dependent T-type calcium channel subunit alpha-1H	Alpha-1B adrenergic receptor	1
2248	Voltage-dependent T-type calcium channel subunit alpha-1H	Alpha-1D adrenergic receptor	1
2249	Voltage-dependent T-type calcium channel subunit alpha-1H	Alpha-1A adrenergic receptor	1
2250	Alpha-1A adrenergic receptor	Alpha-1B adrenergic receptor	1
2251	Alpha-1A adrenergic receptor	Dopamine D2 receptor	1
2252	Alpha-1A adrenergic receptor	Protein S100-A4	1
2253	Alpha-1A adrenergic receptor	Calmodulin	1
2254	Alpha-1A adrenergic receptor	Troponin C, slow skeletal and cardiac muscles	1
2255	Alpha-1A adrenergic receptor	Neuron-specific vesicular protein calcyon	1
2256	Alpha-1A adrenergic receptor	Alpha-1D adrenergic receptor	1
2257	Alpha-1B adrenergic receptor	Alpha-1D adrenergic receptor	1
2258	Proteinase-activated receptor 1	Proteinase-activated receptor 4	1
2259	Proteinase-activated receptor 1	Coagulation factor XIII A chain	1
2260	Proteinase-activated receptor 1	Fibrinogen alpha chain	1
2261	Proteinase-activated receptor 1	Fibrinogen gamma chain	1
2262	Proteinase-activated receptor 1	Coagulation factor V	1
2263	Proteinase-activated receptor 1	Fibrinogen beta chain	1
2264	Proteinase-activated receptor 1	Coagulation factor VIII	1
2265	Proteinase-activated receptor 1	Coagulation factor XI	1
2266	Proteinase-activated receptor 1	Coagulation factor XIII B chain	1
2267	Proteinase-activated receptor 4	Coagulation factor XIII A chain	1
2268	Proteinase-activated receptor 4	Fibrinogen alpha chain	1
2269	Proteinase-activated receptor 4	Fibrinogen gamma chain	1
2270	Proteinase-activated receptor 4	Coagulation factor V	1
2271	Proteinase-activated receptor 4	Fibrinogen beta chain	1
2272	Proteinase-activated receptor 4	Coagulation factor VIII	1
2273	Proteinase-activated receptor 4	Coagulation factor XI	1
2274	Proteinase-activated receptor 4	Coagulation factor XIII B chain	1
2275	Coagulation factor XI	Coagulation factor XIII A chain	1
2276	Coagulation factor XI	Fibrinogen alpha chain	1
2277	Coagulation factor XI	Fibrinogen gamma chain	1
2278	Coagulation factor XI	Coagulation factor V	1
2279	Coagulation factor XI	Fibrinogen beta chain	1
2280	Coagulation factor XI	Coagulation factor VIII	1
2281	Coagulation factor XI	Coagulation factor XIII B chain	1
2282	Coagulation factor XIII A chain	Fibrinogen alpha chain	1
2283	Coagulation factor XIII A chain	Fibrinogen gamma chain	1
2284	Coagulation factor XIII A chain	Coagulation factor V	1
2285	Coagulation factor XIII A chain	Fibrinogen beta chain	1
2286	Coagulation factor XIII A chain	Coagulation factor VIII	1
2287	Coagulation factor XIII A chain	Coagulation factor XIII B chain	1
2288	Coagulation factor XIII B chain	Fibrinogen alpha chain	1
2289	Coagulation factor XIII B chain	Fibrinogen gamma chain	1
2290	Coagulation factor XIII B chain	Coagulation factor V	1
2291	Coagulation factor XIII B chain	Fibrinogen beta chain	1
2292	Coagulation factor XIII B chain	Coagulation factor VIII	1
2293	Fibrinogen alpha chain	Fibrinogen gamma chain	1
2294	Fibrinogen alpha chain	Coagulation factor V	1
2295	Fibrinogen alpha chain	Fibrinogen beta chain	1
2296	Fibrinogen alpha chain	Coagulation factor VIII	1
2297	Fibrinogen beta chain	Fibrinogen gamma chain	1
2298	Fibrinogen beta chain	Coagulation factor V	1
2299	Fibrinogen beta chain	Coagulation factor VIII	1
2300	Fibrinogen gamma chain	Coagulation factor V	1
2301	Fibrinogen gamma chain	Coagulation factor VIII	1
2302	Coagulation factor V	Coagulation factor VIII	1
2303	cAMP-specific 3',5'-cyclic phosphodiesterase 4B	cGMP-inhibited 3',5'-cyclic phosphodiesterase A	1
2304	cAMP-specific 3',5'-cyclic phosphodiesterase 4B	Prostaglandin D2 receptor 2	1
2305	cAMP-specific 3',5'-cyclic phosphodiesterase 4B	cAMP-specific 3',5'-cyclic phosphodiesterase 4C	2
2306	cAMP-specific 3',5'-cyclic phosphodiesterase 4B	Prostaglandin E2 receptor EP1 subtype	1
2307	cAMP-specific 3',5'-cyclic phosphodiesterase 4B	Tissue-type plasminogen activator	1
2308	cAMP-specific 3',5'-cyclic phosphodiesterase 4B	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	2
2309	cAMP-specific 3',5'-cyclic phosphodiesterase 4B	Prostacyclin receptor	1
2310	cAMP-specific 3',5'-cyclic phosphodiesterase 4C	cGMP-inhibited 3',5'-cyclic phosphodiesterase A	1
2311	cAMP-specific 3',5'-cyclic phosphodiesterase 4C	Prostaglandin D2 receptor 2	1
2312	cAMP-specific 3',5'-cyclic phosphodiesterase 4C	Prostaglandin E2 receptor EP1 subtype	1
2313	cAMP-specific 3',5'-cyclic phosphodiesterase 4C	Tissue-type plasminogen activator	1
2314	cAMP-specific 3',5'-cyclic phosphodiesterase 4C	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	2
2315	cAMP-specific 3',5'-cyclic phosphodiesterase 4C	Prostacyclin receptor	1
2316	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	cGMP-inhibited 3',5'-cyclic phosphodiesterase A	1
2317	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	Prostaglandin D2 receptor 2	1
2318	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	Prostaglandin E2 receptor EP1 subtype	1
2319	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	Tissue-type plasminogen activator	1
2320	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	Prostacyclin receptor	1
2321	Prostacyclin receptor	Prostaglandin D2 receptor 2	1
2322	Prostacyclin receptor	Prostaglandin E2 receptor EP1 subtype	1
2323	Prostacyclin receptor	Tissue-type plasminogen activator	1
2324	Prostacyclin receptor	Prostacyclin synthase	1
2325	P2Y purinoceptor 2	Phospholipase A2, membrane associated	1
2326	P2Y purinoceptor 2	Complement control protein C3	1
2327	P2Y purinoceptor 2	Follicle-stimulating hormone receptor	1
2328	P2Y purinoceptor 2	Ryanodine receptor 1	1
2329	Follicle-stimulating hormone receptor	Phospholipase A2, membrane associated	1
2330	Follicle-stimulating hormone receptor	Complement control protein C3	1
2331	Follicle-stimulating hormone receptor	Ryanodine receptor 1	1
2332	Ryanodine receptor 1	Phospholipase A2, membrane associated	1
2333	Ryanodine receptor 1	Complement control protein C3	1
2334	Phospholipase A2, membrane associated	Lactoylglutathione lyase	1
2335	Phospholipase A2, membrane associated	Prostaglandin D2 receptor 2	1
2336	Phospholipase A2, membrane associated	Complement control protein C3	1
2337	Phospholipase A2, membrane associated	Aldo-keto reductase family 1 member C3	1
2338	Phospholipase A2, membrane associated	Prostaglandin reductase 2	1
2339	Coagulation factor XII	Intercellular adhesion molecule 1	1
2340	5'-AMP-activated protein kinase subunit beta-1	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	1
2341	5'-AMP-activated protein kinase subunit beta-1	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial	1
2342	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	1
2343	Breakpoint cluster region protein	Macrophage colony-stimulating factor 1 receptor	1
2344	Breakpoint cluster region protein	High affinity nerve growth factor receptor	1
2345	Breakpoint cluster region protein	Mast/stem cell growth factor receptor Kit	1
2346	Breakpoint cluster region protein	Platelet-derived growth factor receptor alpha	1
2347	Breakpoint cluster region protein	Tyrosine-protein kinase ABL1	1
2348	Breakpoint cluster region protein	Epithelial discoidin domain-containing receptor 1	1
2349	Breakpoint cluster region protein	Platelet-derived growth factor receptor beta	1
2350	Breakpoint cluster region protein	RET proto-oncogene	1
2351	Mast/stem cell growth factor receptor Kit	Macrophage colony-stimulating factor 1 receptor	1
2352	Mast/stem cell growth factor receptor Kit	High affinity nerve growth factor receptor	1
2353	Mast/stem cell growth factor receptor Kit	Platelet-derived growth factor receptor alpha	1
2354	Mast/stem cell growth factor receptor Kit	Tyrosine-protein kinase ABL1	1
2355	Mast/stem cell growth factor receptor Kit	Epithelial discoidin domain-containing receptor 1	1
2356	Mast/stem cell growth factor receptor Kit	Platelet-derived growth factor receptor beta	1
2357	Mast/stem cell growth factor receptor Kit	RET proto-oncogene	1
2358	RET proto-oncogene	Macrophage colony-stimulating factor 1 receptor	1
2359	RET proto-oncogene	High affinity nerve growth factor receptor	1
2360	RET proto-oncogene	Platelet-derived growth factor receptor alpha	1
2361	RET proto-oncogene	Tyrosine-protein kinase ABL1	1
2362	RET proto-oncogene	Epithelial discoidin domain-containing receptor 1	1
2363	RET proto-oncogene	Platelet-derived growth factor receptor beta	1
2364	High affinity nerve growth factor receptor	Macrophage colony-stimulating factor 1 receptor	1
2365	High affinity nerve growth factor receptor	Platelet-derived growth factor receptor alpha	1
2366	High affinity nerve growth factor receptor	Tyrosine-protein kinase ABL1	1
2367	High affinity nerve growth factor receptor	Epithelial discoidin domain-containing receptor 1	1
2368	High affinity nerve growth factor receptor	Platelet-derived growth factor receptor beta	1
2369	Macrophage colony-stimulating factor 1 receptor	Platelet-derived growth factor receptor alpha	1
2370	Macrophage colony-stimulating factor 1 receptor	Tyrosine-protein kinase ABL1	1
2371	Macrophage colony-stimulating factor 1 receptor	Epithelial discoidin domain-containing receptor 1	1
2372	Macrophage colony-stimulating factor 1 receptor	Platelet-derived growth factor receptor beta	1
2373	Platelet-derived growth factor receptor alpha	Vascular endothelial growth factor receptor 2	1
2374	Platelet-derived growth factor receptor alpha	Tyrosine-protein kinase Lck	1
2375	Platelet-derived growth factor receptor alpha	Tyrosine-protein kinase ABL1	1
2376	Platelet-derived growth factor receptor alpha	Proto-oncogene tyrosine-protein kinase Src	1
2377	Platelet-derived growth factor receptor alpha	Platelet-derived growth factor receptor beta	2
2378	Platelet-derived growth factor receptor alpha	Vascular endothelial growth factor receptor 1	1
2379	Platelet-derived growth factor receptor alpha	Vascular endothelial growth factor receptor 3	1
2380	Platelet-derived growth factor receptor alpha	Receptor-type tyrosine-protein kinase FLT3	1
2381	Platelet-derived growth factor receptor alpha	Fibroblast growth factor receptor 3	1
2382	Platelet-derived growth factor receptor alpha	Tyrosine-protein kinase Lyn	1
2383	Platelet-derived growth factor receptor alpha	Epithelial discoidin domain-containing receptor 1	1
2384	Epithelial discoidin domain-containing receptor 1	Tyrosine-protein kinase ABL1	1
2385	Epithelial discoidin domain-containing receptor 1	Platelet-derived growth factor receptor beta	1
2386	Tyrosine-protein kinase ABL1	Platelet-derived growth factor receptor beta	1
2387	Platelet-derived growth factor receptor beta	Vascular endothelial growth factor receptor 2	1
2388	Platelet-derived growth factor receptor beta	Tyrosine-protein kinase Lck	1
2389	Platelet-derived growth factor receptor beta	Proto-oncogene tyrosine-protein kinase Src	1
2390	Platelet-derived growth factor receptor beta	Vascular endothelial growth factor receptor 1	1
2391	Platelet-derived growth factor receptor beta	Vascular endothelial growth factor receptor 3	1
2392	Platelet-derived growth factor receptor beta	Receptor-type tyrosine-protein kinase FLT3	1
2393	Platelet-derived growth factor receptor beta	Fibroblast growth factor receptor 3	1
2394	Platelet-derived growth factor receptor beta	Tyrosine-protein kinase Lyn	1
2395	Neuraminidase	Sialidase-1	1
2396	Neuraminidase	Sialidase-2	1
2397	Sialidase-1	Sialidase-2	1
2398	Protein cereblon	Cadherin-5	1
2399	Protein cereblon	Tumor necrosis factor ligand superfamily member 11	1
2400	Tumor necrosis factor ligand superfamily member 11	Cadherin-5	1
2401	Endothelin-1 receptor	Endothelin B receptor	1
2402	Sodium channel protein type 10 subunit alpha	Sodium channel protein type 5 subunit alpha	1
2403	Sodium channel protein type 10 subunit alpha	Sodium channel protein type 4 subunit alpha	1
2404	Sodium channel protein type 10 subunit alpha	Alpha-1-acid glycoprotein 2	1
2405	Sodium channel protein type 10 subunit alpha	Epidermal growth factor receptor	1
2406	Sodium channel protein type 10 subunit alpha	Sodium channel protein type 9 subunit alpha	1
2407	Sodium channel protein type 9 subunit alpha	Sodium channel protein type 5 subunit alpha	1
2408	Sodium channel protein type 9 subunit alpha	Sodium channel protein type 4 subunit alpha	1
2409	Sodium channel protein type 9 subunit alpha	Alpha-1-acid glycoprotein 2	1
2410	Sodium channel protein type 9 subunit alpha	Epidermal growth factor receptor	1
2411	Sodium channel protein type 5 subunit alpha	Sodium channel protein type 4 subunit alpha	1
2412	Sodium channel protein type 5 subunit alpha	Alpha-1-acid glycoprotein 2	1
2413	Sodium channel protein type 5 subunit alpha	Epidermal growth factor receptor	1
2414	Epidermal growth factor receptor	Tyrosine-protein kinase FRK	1
2415	Epidermal growth factor receptor	Sodium channel protein type 4 subunit alpha	1
2416	Epidermal growth factor receptor	Cytoplasmic tyrosine-protein kinase BMX	1
2417	Epidermal growth factor receptor	Receptor tyrosine-protein kinase erbB-4	1
2418	Epidermal growth factor receptor	Tyrosine-protein kinase Lck	1
2419	Epidermal growth factor receptor	Tyrosine-protein kinase TXK	1
2420	Epidermal growth factor receptor	Tyrosine-protein kinase Fgr	1
2421	Epidermal growth factor receptor	Tyrosine-protein kinase Tec	1
2422	Epidermal growth factor receptor	Tyrosine-protein kinase Blk	1
2423	Epidermal growth factor receptor	Tyrosine-protein kinase ITK/TSK	1
2424	Epidermal growth factor receptor	Tyrosine-protein kinase BTK	1
2425	Epidermal growth factor receptor	Alpha-1-acid glycoprotein 2	1
2426	Epidermal growth factor receptor	Protein-tyrosine kinase 6	1
2427	Epidermal growth factor receptor	Receptor tyrosine-protein kinase erbB-2	1
2428	Sodium channel protein type 4 subunit alpha	Alpha-1-acid glycoprotein 2	1
2429	5-hydroxytryptamine receptor 2C	Cyclin-dependent kinases regulatory subunit 1	1
2430	5-hydroxytryptamine receptor 2C	Neuronal acetylcholine receptor subunit alpha-2	1
2431	5-hydroxytryptamine receptor 2C	Neuronal acetylcholine receptor subunit beta-4	1
2432	Neuronal acetylcholine receptor subunit alpha-2	Cyclin-dependent kinases regulatory subunit 1	1
2433	Neuronal acetylcholine receptor subunit alpha-2	Neuronal acetylcholine receptor subunit beta-4	1
2434	Neuronal acetylcholine receptor subunit beta-4	Cyclin-dependent kinases regulatory subunit 1	1
2435	Solute carrier family 22 member 11	Solute carrier family 22 member 8	1
2436	Solute carrier family 22 member 11	Solute carrier family 15 member 1	1
2437	Solute carrier family 22 member 11	Solute carrier family 22 member 6	1
2438	Solute carrier family 22 member 6	Solute carrier family 22 member 8	1
2439	Solute carrier family 22 member 6	Solute carrier family 15 member 1	1
2440	Solute carrier family 22 member 8	Solute carrier family 15 member 1	1
2441	Thyroid hormone receptor alpha	Thyroid hormone receptor beta	1
2442	Thyroid hormone receptor alpha	Proliferating cell nuclear antigen	1
2443	Thyroid hormone receptor beta	Proliferating cell nuclear antigen	1
2444	Propionyl-CoA carboxylase beta chain, mitochondrial	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	1
2445	Propionyl-CoA carboxylase beta chain, mitochondrial	Biotin--protein ligase	1
2446	Propionyl-CoA carboxylase beta chain, mitochondrial	Pyruvate carboxylase, mitochondrial	1
2447	Propionyl-CoA carboxylase beta chain, mitochondrial	Acetyl-CoA carboxylase 1	1
2448	Propionyl-CoA carboxylase beta chain, mitochondrial	Propionyl-CoA carboxylase alpha chain, mitochondrial	1
2449	Propionyl-CoA carboxylase beta chain, mitochondrial	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	1
2450	Propionyl-CoA carboxylase beta chain, mitochondrial	Acetyl-CoA carboxylase 2	1
2451	Biotin--protein ligase	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	1
2452	Biotin--protein ligase	Pyruvate carboxylase, mitochondrial	1
2453	Biotin--protein ligase	Acetyl-CoA carboxylase 1	1
2454	Biotin--protein ligase	Propionyl-CoA carboxylase alpha chain, mitochondrial	1
2455	Biotin--protein ligase	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	1
2456	Biotin--protein ligase	Acetyl-CoA carboxylase 2	1
2457	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	Pyruvate carboxylase, mitochondrial	1
2458	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	Acetyl-CoA carboxylase 1	1
2459	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	Propionyl-CoA carboxylase alpha chain, mitochondrial	1
